,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
46,4,8,6,6,14237,14382,28619,14237,14382,28619
47,7,6,5,6,13372,13302,26674,13372,13302,26674
48,7,6,6,5,15642,15951,31593,15642,15951,31593
49,5,4,5,6,6950,7070,14020,6950,7070,14020
50,5,5,2,5,7442,7375,14817,7442,7375,14817
51,5,7,5,4,10293,10286,20579,10293,10286,20579
52,4,3,7,5,8793,8763,17556,8793,8763,17556
53,6,8,5,3,11664,11715,23379,11664,11715,23379
54,5,5,7,7,8907,8613,17520,8907,8613,17520
55,7,7,7,3,10819,11080,21899,10819,11080,21899
56,4,6,5,7,9766,9848,19614,9766,9848,19614
57,7,8,6,5,15328,15249,30577,15328,15249,30577
58,3,7,6,5,11554,11711,23265,11554,11711,23265
59,5,6,7,4,15791,15495,31286,15791,15495,31286
60,4,8,9,7,6618,6533,13151,6618,6533,13151
61,8,5,7,8,6697,6802,13499,6697,6802,13499
62,6,3,8,6,6078,5912,11990,6078,5912,11990
63,5,4,3,7,10942,11022,21964,10942,11022,21964
64,5,6,6,6,8124,8356,16480,8124,8356,16480
65,6,8,6,7,7272,7235,14507,7272,7235,14507
66,5,5,4,3,6328,6411,12739,6328,6411,12739
67,5,7,6,4,12382,12245,24627,12382,12245,24627
68,4,5,5,4,8539,8286,16825,8539,8286,16825
69,5,7,8,7,16108,16140,32248,16108,16140,32248
70,6,5,6,5,12089,12096,24185,12089,12096,24185
71,6,4,6,5,10300,10265,20565,10300,10265,20565
72,4,6,6,7,10245,10139,20384,10245,10139,20384
73,6,5,5,7,9174,9288,18462,9174,9288,18462
74,6,7,5,3,12284,12249,24533,12284,12249,24533
75,7,7,7,5,13552,13045,26597,13552,13045,26597
76,5,4,4,7,12554,12536,25090,12554,12536,25090
77,7,5,2,6,7389,7693,15082,7389,7693,15082
78,6,3,6,8,9836,10673,20509,9836,10673,20509
79,5,6,8,6,13534,13432,26966,13534,13432,26966
80,7,5,5,6,13152,13160,26312,13152,13160,26312
81,8,7,6,3,7820,7733,15553,7820,7733,15553
82,5,5,7,9,16430,16477,32907,16430,16477,32907
83,7,3,8,5,4462,4398,8860,4462,4398,8860
84,7,7,3,5,12322,12184,24506,12322,12184,24506
85,5,4,4,8,15486,15372,30858,15486,15372,30858
86,7,7,4,4,12745,12540,25285,12745,12540,25285
87,5,5,4,7,13754,13730,27484,13754,13730,27484
88,5,5,5,5,18006,17735,35741,18006,17735,35741
89,5,5,3,5,10714,10709,21423,10714,10709,21423
90,4,6,9,5,12091,11882,23973,12091,11882,23973
91,3,6,6,7,14740,14945,29685,14740,14945,29685
92,7,4,6,8,12761,12670,25431,12761,12670,25431
93,7,5,4,5,12381,12241,24622,12381,12241,24622
94,6,7,5,7,11203,11104,22307,11203,11104,22307
95,6,7,3,7,9675,10047,19722,9675,10047,19722
96,6,7,4,6,14795,14654,29449,14795,14654,29449
97,9,4,5,5,10528,10494,21022,10528,10494,21022
98,7,4,7,4,12555,12706,25261,12555,12706,25261
99,5,5,7,5,7686,7670,15356,7686,7670,15356
