,RN,BC A,STD A,BC B,STD B
33,RN034,0.47761144993251375,0.001235210872991719,0.4206409642795117,0.002143471120672778
34,RN035,0.32326902771640176,0.0018771358775615862,0.47382489292135266,0.004779618725090225
35,RN036,0.529892567146473,0.007135130302035868,0.47593853152659604,0.0017462299510799003
36,RN037,0.3720421566118887,0.0033128309350298796,0.3185776115354406,0.003763355998617682
37,RN038,0.38792117687438715,0.002735507180902528,0.6954311916196293,0.0024244420396195643
38,RN039,0.41221040934406245,0.006449789637416621,0.38896439472790095,0.0030851716851839545
39,RN040,0.4578390965641983,0.005497925240152965,0.3599670042675413,0.0016297032547972195
40,RN041,0.37144944514772327,0.0063841969128727,0.3554650495369544,0.0039578425501248455
41,RN042,0.407064174728029,0.008170899065215221,0.45054782893954953,0.0038686379547666636
42,RN043,0.5447736067045535,0.003157229051421293,0.7410171432935994,0.0019553815316304787
43,RN044,0.3387836277791429,0.0021321282555420056,0.4001719579534897,0.0035104891679799514
44,RN045,0.4101000954118375,0.004471404914814002,0.46453814997778126,0.00383624204822868
45,RN046,0.2998927877463697,0.004658370303081814,0.34715335210051945,0.007632506338563692
46,RN047,0.45537761156994244,0.006615590173948931,0.3640769419039149,0.004179022927879733
47,RN048,0.5184107428258373,0.0028682986465322453,0.3583002659087315,0.00743389562117562
48,RN049,0.42593115473607573,0.001272423702907427,0.39644158106321464,0.003545020449838848
49,RN050,0.4628774499377619,0.004878523414674673,0.4794206267023717,0.006067857589426022
50,RN051,0.4871878569913673,0.0036586456604042732,0.3574844195865605,0.015467857196725082
51,RN052,0.3774621448243065,0.007015055220087403,0.34728606041202936,0.0016316787590343156
52,RN053,0.43405988122189165,0.007496621768046074,0.4136891086945549,0.0027219945066802014
53,RN054,0.3300706160167655,0.002442781270901793,0.38344255276924555,0.004247083604162006
54,RN055,0.44532737917707615,0.004529532687369809,0.4328334636192994,0.0035231969890215267
55,RN056,0.45731194396626207,0.005201821726461726,0.3485047262974859,0.004839892236468158
56,RN057,0.41762651787859156,0.003931263193944212,0.31006805055743386,0.007891991191921606
57,RN058,0.37981127399022263,0.0016779996361263728,0.34199903625513284,0.001415020737829987
58,RN059,0.4995811441291323,0.0028424959087696103,0.4692126773948981,0.0014823415522416405
59,RN060,0.3094546062041164,0.004090930758725714,0.29332077747105506,0.0038148117907392336
60,RN061,0.47549800805266357,0.0020630867025404186,0.5079731398204101,0.003046827735962561
61,RN062,0.519390123577894,0.004176518150774842,0.4940407318930405,0.005752177892000603
62,RN063,0.38090344636980866,0.004617839476095597,0.3211759594109565,0.00796425499265075
63,RN064,0.637559680025367,0.00071108943602423,0.38618255003099805,0.005491215905995033
64,RN065,0.3124642598828207,0.00567953753596925,0.3450538838966322,0.002323469123697364
65,RN066,0.32409877639468426,0.0050447439474564605,0.3165064546262862,0.0007682234395834892
66,RN067,0.5859205445923793,0.008726987053754118,0.5809111747407906,0.004030033393479376
67,RN068,0.39922607245296243,0.006743910980233065,0.4880768280067011,0.00804993458384031
68,RN069,0.5799263673258079,0.005647882892158044,0.5670612544502034,0.0017881722856541234
69,RN070,0.36814169601610947,0.006677718491776534,0.34067337075528736,0.0030254427160792807
70,RN071,0.3630999251249684,0.010593542044209881,0.34052778527974104,0.0021633354258184796
71,RN072,0.5483552088113147,0.004680010592905404,0.5063347226477471,0.009290073031827896
72,RN073,0.4872456774603527,0.0016736340755904107,0.5255764597379767,0.0001011997818655489
73,RN074,0.4159048706689319,0.004677325304021687,0.2797179564269802,0.003493087865180107
74,RN075,0.36269229339685644,0.0009511965909846374,0.3934129079870729,0.005424119363993286
75,RN076,0.5481894369735847,0.001682215175426356,0.44172122855127066,0.002361561398692592
76,RN077,0.39458491212733166,0.006047197016832268,0.40296815601541414,0.00815376722334789
77,RN078,0.47531538509795374,0.0072502986686537796,0.48981138565256127,0.0015350481026833627
78,RN079,0.3867166964849386,0.003666061883086732,0.46389297543988234,0.0005331914119168567
79,RN080,0.4423099163097879,0.0027367221725880823,0.4818678986666259,0.0027380627811628678
80,RN081,0.38671089625360167,0.0043201999502867966,0.36709629326539894,0.006163546414549457
81,RN082,0.44805479435414514,0.0013028182799240606,0.45977707044131727,0.004110024880778879
82,RN083,0.44561356135649116,0.004801017075714215,0.45141176109129866,0.0026490358926782717
83,RN084,0.32352065746300906,0.0010593860735990878,0.43215817590246886,0.004051220229890433
84,RN085,0.38717270388142716,0.0030966218327243946,0.6236060329655507,0.0030730913747356553
85,RN086,0.40092658924232394,0.004782647231621983,0.36289694542323475,0.006519683147560513
86,RN087,0.5104121465507124,0.005189759662515085,0.5010762790291137,0.002747393698674705
