,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
67,5,4,4,5,180801,180926,361727,180801,180926,361727
68,3,4,5,3,120228,120438,240666,120228,120438,240666
69,7,6,2,3,69502,69734,139236,69502,69734,139236
70,6,5,3,3,121493,121300,242793,121493,121300,242793
71,5,4,4,3,35626,35457,71083,35626,35457,71083
72,4,6,4,4,36985,37116,74101,36985,37116,74101
73,5,2,2,7,45654,46116,91770,45654,46116,91770
74,5,3,6,6,77542,78175,155717,77542,78175,155717
75,3,5,5,3,88440,87803,176243,88440,87803,176243
76,5,3,7,5,280961,280903,561864,280961,280903,561864
77,6,4,4,4,67227,67284,134511,67227,67284,134511
78,3,4,4,5,36812,36931,73743,36812,36931,73743
79,7,6,6,3,44093,44103,88196,44093,44103,88196
80,4,3,5,5,11488,11511,22999,11488,11511,22999
81,4,3,3,4,72785,72793,145578,72785,72793,145578
82,6,6,3,7,15135,15096,30231,15135,15096,30231
83,6,2,6,3,71468,71290,142758,71468,71290,142758
84,4,5,1,3,40107,39929,80036,40107,39929,80036
85,5,3,4,5,21760,21520,43280,21760,21520,43280
86,3,4,2,3,111444,111513,222957,111444,111513,222957
87,4,7,4,3,161912,161905,323817,161912,161905,323817
88,6,4,5,4,56413,56550,112963,56413,56550,112963
89,4,7,5,2,117471,117532,235003,117471,117532,235003
90,4,4,5,3,26721,26799,53520,26721,26799,53520
91,1,4,6,5,45246,45358,90604,45246,45358,90604
92,9,4,4,6,126445,126473,252918,126445,126473,252918
93,4,5,5,5,223441,224158,447599,223441,224158,447599
94,7,4,4,6,17885,17943,35828,17885,17943,35828
95,7,5,4,5,158803,158747,317550,158803,158747,317550
96,5,4,5,3,28970,29300,58270,28970,29300,58270
97,3,3,5,3,19215,19268,38483,19215,19268,38483
98,6,3,4,5,41003,40800,81803,41003,40800,81803
99,5,5,5,5,171687,171906,343593,171687,171906,343593
