,RN,CC(AB),Std(AB),CC(BC),Std(BC),CC(CA),Std(CA)
15,RN016,0.4517168559438594,0.008793528228719724,-0.3116815324527486,0.0033185723899368438,-0.803913179159662,0.004111881648646653
16,RN017,0.5517925720736233,0.006317203501090237,-0.32560279836836475,0.011173505484617166,-0.7381516176151823,0.004888071250820207
17,RN018,0.683690814368223,0.001640820121735848,-0.793604539581474,0.001925392328780612,-0.8477557812078613,0.001751912319224389
18,RN019,-0.03407790247244393,0.007716809219610333,-0.3833351596899952,0.009170229744122209,-0.7122364102030673,0.004783396997198377
19,RN020,0.6368395787194876,0.008657601736467424,-0.7505470629246526,0.005134523090196444,-0.8730147978615189,0.002739349447829665
20,RN021,0.2194509547730379,0.009073405895276011,-0.5922432280505147,0.01018797274620345,-0.6295307536569754,0.004793589518684593
21,RN022,0.6185083373592838,0.009344598714440391,-0.5930881911823335,0.013640171857497682,-0.847118214866458,0.0010867085744972291
22,RN023,0.3589749585770836,0.006510021741657388,-0.3580439164249655,0.007854824923993618,-0.8304085738231529,0.004367219978122158
23,RN024,0.5653309274817468,0.012199362190054335,-0.6075649978233951,0.006191703750050664,-0.7899646840083808,0.0025325050890755204
24,RN025,0.2878225655818724,0.011527952461633857,-0.3322319927383468,0.007517862221234927,-0.8169829175737023,0.004014156092472207
25,RN026,-0.09764875119494983,0.012699099604487351,-0.6186646768181391,0.005378371306597268,-0.06601662634229931,0.01737675290455213
26,RN027,0.0302380358206713,0.013039366533154777,-0.5375862272494825,0.006295083022549866,-0.39492677334044224,0.013289912215524119
27,RN028,0.6852338242105821,0.009583151055567443,-0.5830368468180258,0.011430172656799235,-0.832580714049346,0.004301566149959605
28,RN029,-0.29763240667790286,0.003764028364502452,-0.1234774916636373,0.008661832220097518,-0.5099936197688107,0.007919929289355523
29,RN030,0.37720735937558664,0.006892830516699558,-0.4101232694048933,0.013895366931911658,-0.7190771250235239,0.006947804685843087
30,RN031,0.19719382450999398,0.00813815764029718,-0.4179126761569476,0.004786724120218183,-0.48048909180027594,0.011209424818464108
31,RN032,0.3076876546415774,0.006064779422918749,-0.3496950466415381,0.007509170969915571,-0.7068877157991426,0.010475698670242905
32,RN033,0.17517298665558004,0.009187612262010597,-0.5970027575376659,0.003484677945982575,-0.7053210768600148,0.0019737333630093813
33,RN034,0.23421888021618364,0.023430924468611416,-0.3049852672690206,0.023108418698985514,-0.7434260459095453,0.0051677090742030035
34,RN035,0.52748516327346,0.008666445296501688,-0.5073789990209033,0.010280811412082242,-0.7897975985560043,0.007564765975539833
35,RN036,0.6637519154147627,0.01102440986637738,-0.5863115738949359,0.015343653755566247,-0.842711540807845,0.0030880280883367967
36,RN037,0.2584864826575365,0.009064501434228158,-0.40469489774303485,0.0030033185883717537,-0.5223797556436426,0.0045296836052103225
37,RN038,0.6851521418228201,0.004773380190034618,-0.5822611257153741,0.009471778933491702,-0.8270005186106237,0.004028913442666384
38,RN039,0.29424533215376864,0.0124144135469176,-0.47671246791678906,0.01218492497403243,-0.7282587492786098,0.007849081290688438
