,InA,OutA,InB,OutB,InC,OutC,f1,f2,f3,NetP,NetS,f1/f2,f1/f3,log2(InTT)
76,5.0,7.0,5.0,4.0,4.0,5.0,0.4966006760019314,0.4453983582810236,0.0580009657170449,E:6N,5N,1.114958478784068,8.561938061938063,3.807354922057604
77,7.0,6.0,5.0,6.0,5.0,4.0,0.4686664096903435,0.4352711684246183,0.0960624218850381,E:6N,5N,1.0767228424216402,4.87876945525292,4.087462841250339
78,6.0,4.0,5.0,4.0,4.0,5.0,0.4829466276477146,0.4565827062430323,0.060470666109253,E:6N,5N,1.0577418308757607,7.986461183926266,3.9068905956085187
79,5.0,7.0,5.0,5.0,3.0,5.0,0.4996526669545463,0.4094962732102961,0.0908510598351576,E:6N,5N,1.2201641373618817,5.499690018598885,3.700439718141092
80,4.0,5.0,6.0,4.0,4.0,5.0,0.4995002598648703,0.4712649422300404,0.0292347979050893,E:6N,5N,1.059913893660792,17.085811965812,3.807354922057604
81,3.0,3.0,6.0,3.0,6.0,6.0,0.5174166567499108,0.4304268738418645,0.0521564694082246,E:6N,5N,1.2021011888305229,9.920469361147342,3.9068905956085187
82,4.0,5.0,5.0,5.0,5.0,5.0,0.5368347246041748,0.4357062318195169,0.0274590435763082,E:6N,5N,1.2321024704244958,19.550379572118764,3.807354922057604
83,4.0,6.0,5.0,5.0,7.0,5.0,0.4727019652923008,0.4546694735675803,0.0726285611401188,E:6N,5N,1.0396606607063983,6.508485888634632,4.0
84,6.0,5.0,4.0,5.0,3.0,5.0,0.4302697114932807,0.5347594211070388,0.0349708673996804,E:6N,5N,0.804604265975441,12.303661404098113,3.700439718141092
85,4.0,7.0,5.0,6.0,2.0,6.0,0.4927001917121368,0.4625213306086334,0.0447784776792297,E:6N,5N,1.0652485822952014,11.003058103975555,3.4594316186372973
86,4.0,4.0,4.0,3.0,6.0,7.0,0.500867272601124,0.4347959679257813,0.0643367594730947,E:6N,5N,1.151959331616021,7.785087043598832,3.807354922057604
87,4.0,7.0,7.0,5.0,4.0,4.0,0.4367339728782237,0.4855558877082371,0.0777101394135391,E:6N,5N,0.8994515027704705,5.620038468263685,3.9068905956085187
