,RN,BC A,Std(BC A),BC B,Std(BC B),BC C,Std(BC C)
17,RN018,0.4567544920908091,0.008674715825979043,0.48403003802568795,0.0020050502927745797,0.5027144986735271,0.0027072881046799366
18,RN019,0.41594918075168213,0.00407793405938542,0.3781132466960193,0.005644092900722387,0.46927246751916524,0.0011037210731476433
19,RN020,0.376615148090224,0.010451988678248765,0.3707274155227384,0.004513953586555354,0.3960903019508136,0.004914422345607382
20,RN021,0.4312200520507284,0.0022787853217318497,0.45077174400821113,0.011270630474131882,0.27832947927813023,0.006092018862307687
21,RN022,0.44333649653839835,0.0019473395723773042,0.37731034802104385,0.004851765372451273,0.43807023609422385,0.0016689286469835755
22,RN023,0.3920683387367771,0.0022326995807851573,0.4074079647681252,0.0033916238196880304,0.43920431768568724,0.00542093740581862
23,RN024,0.4477146493285211,0.005754928320553431,0.3865773069160692,0.008781969998631484,0.4652372146022447,0.008924397685962317
24,RN025,0.4313875401353087,0.0049713879978514125,0.3750066384281833,0.002366368826972992,0.41012518702382844,0.0010030276126069058
25,RN026,0.4247071651754739,0.004966357276417063,0.3451772385509921,0.003464316159560572,0.30337898046487854,0.002518421097963815
26,RN027,0.5143097426951511,0.003685452114921465,0.42730972870361933,0.023364639878131095,0.4877401347610541,0.007807093254492912
27,RN028,0.4786529483611368,0.0019082756616155868,0.3963025749478211,0.010565762012447135,0.4530370410594821,0.0023933507785294924
28,RN029,0.462596159330029,0.005162346247406871,0.3798511159029469,0.011922937859380412,0.4464984488980477,0.0032751731101437025
29,RN030,0.5482812114302249,0.0038664909265645232,0.37736037975979714,0.002915586231948282,0.45715160155979423,0.0023183382521209384
30,RN031,0.5467683096563704,0.00300257270296581,0.4786868171602248,0.0009293807720322797,0.5876191242912668,0.0031682666203022465
31,RN032,0.4412693657903213,0.0038309541736000693,0.363077471641232,0.006469785835827116,0.48940340067197313,0.0019007856549229562
32,RN033,0.42768685298463976,0.003738027457000712,0.36447165428908335,0.008294153121507974,0.35839996976565597,0.0027537935077824567
33,RN034,0.5377518974872317,0.004560643388812137,0.29594163124445744,0.004169700864357564,0.5317723287782755,0.003295236672328969
