,RN,CC(AB),Std(AB),CC(BC),Std(BC),CC(CA),Std(CA)
47,RN048,0.3112933962441769,0.00724774771534498,-0.43207713122282926,0.004769294347985113,-0.4392309720437613,0.015978944797915347
48,RN049,0.15585526537898717,0.013734628324256128,-0.40337991405271945,0.02336332756675109,-0.5191915030736177,0.008249483627213793
49,RN050,0.1369033999060339,0.0097852745390748,-0.4737255224997117,0.011549843124382422,-0.058412029807661935,0.004017992901512272
50,RN051,0.25875295844024454,0.004252441695383184,-0.5363741403383684,0.005394052799080899,-0.23687752160969797,0.012644687370281429
51,RN052,0.16741808542450154,0.005320739497491194,-0.562857686172844,0.0073482067991600735,-0.2117244139568195,0.010611023003034814
52,RN053,0.489433453279366,0.007637865292212645,-0.3116667087710387,0.015025921830033474,-0.03921545635162583,0.017724753555530236
53,RN054,0.05066880190321516,0.002938169701850506,-0.5566310498421784,0.012876075722692464,-0.2547010054566563,0.0245654586782569
54,RN055,0.18561492539037763,0.00952185873897761,-0.6331698099141096,0.0006598185622871002,-0.025992503595136437,0.0030031920810335453
55,RN056,0.6637529362085098,0.006764059404480857,-0.3139886908789968,0.00815311807595889,-0.021734819339517365,0.007858036368362926
56,RN057,0.31444793747744204,0.004579969386932748,-0.31173987234006884,0.010625433818763186,-0.3978277317017273,0.004811302147360685
57,RN058,0.5394440886193009,0.010051744438265004,-0.5197248777841396,0.014590600085136083,-0.35311468893361236,0.008289946090373779
58,RN059,0.3910049996502698,0.022585854128677668,-0.2856441490150159,0.0158654900835726,-0.6003130555089167,0.004387293604602144
59,RN060,0.05163713151033097,0.00940712518723501,-0.5379567429058537,0.011132548919354565,-0.2767275434179542,0.006998394083960493
60,RN061,0.20358557292274693,0.010179468545844535,-0.5716412170211593,0.015179303223804692,-0.027149288279292794,0.008131537289865255
61,RN062,0.18632430789470797,0.026522321554898032,-0.39907389510950136,0.011738494925705502,-0.42468829819095943,0.015338283080900248
62,RN063,0.2865956126452847,0.004720868321908394,-0.20198280335113764,0.012013333695989593,-0.3938671505742626,0.007291147785413544
63,RN064,0.15324359271552293,0.008556422632638637,-0.4845509557095611,0.010159998389568542,-0.19045500566868412,0.005220306469936629
64,RN065,0.2121470470961051,0.017905955847958666,-0.5454634904060067,0.004582907815831654,-0.13625764911633562,0.017171291663701734
65,RN066,0.5137548757897437,0.006488074999574256,-0.3274774723911104,0.016781554202147702,-0.047314567370277234,0.020230545670660065
66,RN067,0.3555396839235214,0.01740132557707685,-0.47901331021544774,0.007410500926648402,-0.5095392380422736,0.013361832360148427
67,RN068,0.2869588460740092,0.002564603873965157,-0.2249839643825351,0.017530653188594262,-0.22450580822302832,0.010339700901434025
68,RN069,0.027393105583836203,0.012536794303942113,-0.4035941389838969,0.002683692764387513,0.0011290375293016668,0.0188909180013857
69,RN070,0.0968339574725313,0.005785291642763106,-0.2725858810496548,0.012291117031612352,-0.19749568745087132,0.0130826846856831
70,RN071,0.5747115994352141,0.009487347063600111,-0.3233327717038734,0.015994959637377914,-0.3207386397175183,0.009507320513697706
71,RN072,0.6619511234935961,0.0035264598995140535,-0.2855803107455834,0.007338238729156658,-0.36669388114580753,0.024068463715269765
72,RN073,0.371120397300712,0.0021515419284994105,-0.3811208449009833,0.0027304995487880215,-0.25463855080038084,0.008227683564260744
73,RN074,-0.019681641087102065,0.004796549202516831,-0.65922210957015,0.005967025833780136,0.03273658439728383,0.009140263164604718
74,RN075,0.4436203142893748,0.0010562680705196515,-0.43861131077405485,0.008954635665373042,-0.43559957179682846,0.012712404249324684
75,RN076,0.3018504958090186,0.008913057737811286,-0.5418630667889297,0.005992317174493304,-0.3210528288435696,0.0070856911561720335
76,RN077,0.19034005651836552,0.00391249668734311,-0.6406734857525304,0.006259381387152057,-0.285807922512622,0.008120398737807672
77,RN078,0.15961588397855864,0.009024743482897349,-0.5406068853004711,0.005696695377264289,-0.08372470033455881,0.0033049754331413105
78,RN079,0.04226893444665356,0.005868144344646746,-0.6223416320878752,0.011473765372008705,0.10346984575335423,0.002051666665876995
79,RN080,0.13987680355020604,0.00794822320138583,-0.5936437319801879,0.008405644691639557,-0.09780649839384496,0.014538355275076121
80,RN081,0.03314410468479664,0.017085302448011184,-0.6129047796487269,0.0034690226435691285,-0.04272871919743037,0.0040240097768413224
81,RN082,0.2683246201398552,0.0060989668819076606,-0.444826625830606,0.009202844846582878,-0.205434822132375,0.008801101492740744
82,RN083,-0.0746388418613713,0.003957127848818756,-0.32849777565910115,0.0028154723625203847,-0.012584835440060999,0.004226305955482758
83,RN084,0.4152915197434381,0.00759335650520012,-0.14821879231684185,0.010232290045994756,0.0804969698853691,0.014042027782985756
84,RN085,0.34439320533819046,0.0141742048229069,-0.42327550534461106,0.0033300922977130333,-0.18390729425601124,0.013337670741616544
85,RN086,0.048601171463502096,0.01759180554703457,-0.5900251567612246,0.007457872274090632,0.14457928734569184,0.005141468847895066
86,RN087,0.11800732237110852,0.009739719530311759,-0.6424190710721986,0.006586307858589993,-0.07339284095590903,0.009184948718615306
87,RN088,0.2609585993406045,0.025467506065528896,-0.39111256095655395,0.002259994312688052,-0.19407035273238185,0.016691271691528852
88,RN089,0.40252175294955195,0.008138971341796189,-0.26513123740144146,0.0048752241071755836,-0.09518651216616593,0.008506064553032096
89,RN090,0.532807173634339,0.016638995413222137,-0.1290032267322123,0.009743533881608668,-0.42190039904122223,0.009048669211392352
90,RN091,0.15608564860436355,0.010645289107857838,-0.6562803708852142,0.004415050871588413,-0.23689991035316846,0.004727175378494536
91,RN092,0.2371720225318601,0.003576091669988476,-0.42524417931356046,0.0059563860222747065,-0.006410517708945134,0.005174629185298284
92,RN093,0.08600987794798565,0.004089505848054672,-0.46181423465063537,0.01298378709022543,0.0824167829185933,0.009580669044072891
93,RN094,-0.05756063077726781,0.013127844440711092,-0.6401291130238658,0.014337018614401533,0.10408348844201704,0.010458203001510864
94,RN095,0.4311431529305842,0.014185641320810674,-0.3557900648254686,0.014715337245158477,-0.25801889625925717,0.007363417776024306
95,RN096,0.11439343663876389,0.009315320300328845,-0.534843785917629,0.008570786697820423,0.015983650313019234,0.011160565553865964
96,RN097,0.1199401262423368,0.007476656015483255,-0.40618040553107077,0.010795965460385186,-0.14450522367782523,0.009453447075925015
97,RN098,0.3728747033652779,0.004379564788117219,-0.4017770810768247,0.002712493890156108,0.0920321957090021,0.002368816783647649
98,RN099,0.09937585552575394,0.007553725584772516,-0.6327737983805694,0.004855605854505825,0.06555159484300523,0.007300281353656923
99,RN100,0.10720808949632533,0.008502964042299712,-0.5639939072109544,0.010150731481932474,-0.11701735581773663,0.017502618954985803
