,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
35,6,9,8,6,7,5,18874,18656,37530,14106,14005,28111
36,8,5,6,5,7,6,37146,37139,74285,25629,25553,51182
37,5,5,7,8,7,7,23925,23729,47654,16458,16422,32880
38,8,5,6,6,7,5,28343,28326,56669,18951,18790,37741
39,5,6,9,7,4,6,32994,32951,65945,21143,21104,42247
40,8,6,6,6,3,5,20142,20150,40292,11735,11854,23589
41,4,5,8,8,6,9,25164,25115,50279,17085,17015,34100
42,6,9,3,5,5,7,12761,12671,25432,7252,7201,14453
43,5,8,7,7,7,7,27179,27199,54378,19414,19442,38856
44,5,7,10,4,4,7,20462,20371,40833,14440,14439,28879
45,6,6,7,5,4,4,40502,40480,80982,24002,24041,48043
46,9,5,3,7,5,6,36777,36714,73491,24035,23963,47998
47,8,4,10,6,5,7,13840,13778,27618,9537,9466,19003
48,8,6,6,7,5,7,13137,13194,26331,9175,9183,18358
49,5,6,6,5,7,4,22582,22616,45198,14290,14214,28504
50,5,9,9,4,6,7,30087,29903,59990,21581,21400,42981
51,5,6,2,6,8,10,10285,10134,20419,5472,5489,10961
52,9,6,7,5,2,6,19305,19333,38638,10953,11322,22275
53,5,6,8,7,6,6,35826,36081,71907,24603,24935,49538
54,4,5,9,6,4,5,16823,16617,33440,9912,9724,19636
55,3,6,7,8,5,5,21228,21127,42355,12526,12555,25081
56,6,6,7,7,7,6,18169,18320,36489,12931,13065,25996
57,8,7,8,8,7,5,12553,12509,25062,9075,9034,18109
58,5,7,6,7,8,6,42100,41955,84055,29933,29376,59309
59,5,4,6,5,4,7,34370,34172,68542,20848,20566,41414
60,6,4,5,5,6,8,22126,22019,44145,13804,13649,27453
61,3,7,7,7,7,7,23997,24069,48066,15647,15718,31365
62,5,9,7,6,5,5,27525,27458,54983,18150,18034,36184
63,6,6,6,6,5,5,31269,31470,62739,19945,20250,40195
64,8,6,6,5,5,4,30332,30416,60748,18192,18151,36343
65,8,7,6,7,7,4,24562,24616,49178,16843,16765,33608
66,4,8,7,8,7,6,14254,14177,28431,10061,10001,20062
67,4,7,5,6,6,5,32337,32127,64464,20320,20108,40428
68,5,7,6,10,6,5,23732,23730,47462,16220,16130,32350
69,4,4,5,5,5,4,37396,37121,74517,22097,22107,44204
70,7,7,8,6,6,5,28019,28091,56110,18842,19080,37922
71,5,7,6,8,6,6,27828,28235,56063,19587,19894,39481
72,8,8,9,4,7,5,24716,24526,49242,17142,16986,34128
73,5,7,6,9,8,7,27455,27352,54807,19258,19241,38499
74,6,7,7,5,5,5,41438,41432,82870,27113,26952,54065
75,5,9,6,6,8,6,21609,21568,43177,14998,14979,29977
76,4,7,10,6,6,5,15448,15405,30853,9957,9883,19840
77,7,6,6,6,7,7,31113,30127,61240,21664,21217,42881
78,4,5,8,7,7,6,28961,28935,57896,17981,17964,35945
79,3,3,6,9,7,7,20917,20683,41600,9447,9327,18774
80,7,7,6,5,7,8,22339,22162,44501,15407,15347,30754
81,6,4,10,5,6,6,32924,33088,66012,21544,21757,43301
82,5,6,10,5,8,4,28324,28235,56559,19307,19341,38648
83,5,7,5,5,5,7,24991,24984,49975,16422,16281,32703
84,6,8,7,8,3,6,34692,34815,69507,21880,21985,43865
85,7,7,5,9,9,4,23567,23510,47077,16468,16399,32867
86,4,7,7,6,6,5,38079,37907,75986,25239,25084,50323
87,10,6,5,5,7,9,21906,21891,43797,15183,15232,30415
88,7,6,7,7,6,5,18916,18815,37731,13403,13247,26650
89,6,5,8,6,7,7,24999,25104,50103,18177,18274,36451
90,6,4,8,5,7,3,20220,20229,40449,12237,12355,24592
91,7,7,5,5,4,7,18476,18194,36670,11897,11680,23577
92,5,5,8,5,7,6,35798,35566,71364,23255,23220,46475
93,6,8,5,7,6,5,27569,27568,55137,18189,18532,36721
94,7,6,6,6,5,7,31342,31317,62659,21594,21541,43135
95,8,4,3,4,6,4,26418,26440,52858,15233,15213,30446
96,5,6,8,4,7,6,33085,32958,66043,22206,22142,44348
97,4,6,6,9,6,6,30044,30032,60076,19885,19834,39719
98,6,6,6,5,8,7,39617,39404,79021,26822,26853,53675
99,6,5,6,7,6,7,30426,30464,60890,21227,21234,42461
