,RN,BC A,STD A,BC B,STD B,BC C,STD C
30,RN031,0.3824880223499161,0.006395405741803615,0.46723099298191006,0.004349652587928342,0.41214760742444684,0.002309259365215337
31,RN032,0.4298431777041633,0.0036524903067401905,0.4946423357112533,0.005822583291742439,0.41711767919032683,0.009736362934807535
32,RN033,0.42166826176596456,0.0005130560426672157,0.4769919692057177,0.002158337021361702,0.4165419263135289,0.0039009653689656607
33,RN034,0.2951654071729634,0.002614350438193667,0.4690141668121042,0.002749742256546873,0.4634502656622985,0.005697004478085386
34,RN035,0.44163489620100344,0.003097902591236194,0.3800203386635448,0.005538885322445264,0.42171037812901235,0.006122184240420625
35,RN036,0.4443107927684496,0.007157699706799353,0.34021853312981803,0.0005326678213784065,0.4626881107603553,0.00912533430870794
36,RN037,0.3760075949953939,0.002425902744054412,0.4320993412886611,0.00434285535383857,0.4683641705991343,0.0050112080775604
37,RN038,0.4669647871009437,0.008199950500503947,0.43686955188054283,0.00756773707683558,0.5001432351079614,0.0046984844295223874
38,RN039,0.4547806853663903,0.005858936311114642,0.4119479391267458,0.0024080876358905314,0.5219284210922713,0.0032534089653357802
39,RN040,0.5159876752455294,0.0023498189341774937,0.4554790902241473,0.0017869504878456927,0.4623124140051916,0.01021942036787406
40,RN041,0.36434336263763695,0.0025891491491994534,0.39434748651070844,0.010453452255060025,0.4398899839210609,0.0053132193994857215
41,RN042,0.4753019246686962,0.004968972367153157,0.4141989615852025,0.0022652381713638313,0.36137307936380886,0.006541094408587306
42,RN043,0.4420135641249523,0.0069099270930941025,0.39674287334296937,0.0040463023789515575,0.4482419412153233,0.002863037549610986
43,RN044,0.4756940289426827,0.003083830539962771,0.48174839112853807,0.008911021969427875,0.3847007971420098,0.0047532679061087855
44,RN045,0.4385895175376746,0.007044025587603255,0.43480621594585483,0.01128673976711673,0.4674318381771507,0.002526312628957859
45,RN046,0.4454933115696318,0.005250222459238608,0.4072658918866341,0.007696207865578393,0.46159465446513065,0.0035483601434841616
46,RN047,0.43373308058609,0.006566173407239942,0.4007218489795634,0.0059150651033310795,0.4307124721672298,0.0064677101658334474
47,RN048,0.45615333832415045,0.0023176421856226817,0.41635625008637495,0.0034016740296934937,0.4439504801995451,0.00431725527959536
48,RN049,0.3737891339454227,0.005796257188991231,0.46855182148932734,0.005451678852112515,0.3373813864369448,0.007003137834318164
49,RN050,0.381852983652431,0.0065706677241036135,0.40562092577936393,0.0040768183100860075,0.4372468226495571,0.007697714526280206
50,RN051,0.45339067024123986,0.0036019381899682467,0.3936863539889912,0.00990842348157056,0.4693753749911183,0.0071007293324954765
51,RN052,0.476263640974975,0.007776497697909174,0.2915208377440416,0.00874163594383798,0.433928928470845,0.003695438302388094
52,RN053,0.3500515392333146,0.007361227081868234,0.44114834436116035,0.004126241405482296,0.3878557633641006,0.0033813693864035085
53,RN054,0.5781989815149878,0.0036000053700757963,0.4152220298191121,0.002729862369457168,0.36476856662179635,0.0031458683964673082
